Rk,Team,Date,xG,Venue,Opp,Comp,Result,GF,GA,GD,Poss,G-PK,PK,PKatt,PKm,xG,npxG,xGD,npxGD,xAG,xA,G-xG,np:G-xG,A-xAG,npxG/Sh,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK,Match Report
92,St. Pauli,2025-11-09,0.5,@,Freiburg,de Bundesliga,L 1-2,1,2,-1,40,1,0,0,0,0.5,0.5,-0.5,-0.5,0.5,0.8,+0.5,+0.5,+0.5,0.08,7,0.14,0.5,2,28.6,16.2,0,Match Report
93,Stuttgart,2025-11-09,2.3,,Augsburg,de Bundesliga,W 3-2,3,2,+1,62,2,1,1,0,2.3,1.5,+0.4,-0.4,1.3,1.8,+0.7,+0.5,+0.7,0.1,16,0.13,0.4,5,31.3,17.4,1,Match Report
94,Mainz 05,2025-11-09,0.1,@,Eint Frankfurt,de Bundesliga,L 0-1,0,1,-1,45,0,0,0,0,0.1,0.1,-1,-1,0.1,0.5,-0.1,-0.1,-0.1,0.05,3,0,,0,0,20,0,Match Report
95,Freiburg,2025-11-09,1,,St. Pauli,de Bundesliga,W 2-1,2,1,+1,60,2,0,0,0,1,1,+0.5,+0.5,0.5,0.6,+1.0,+1.0,-0.5,0.13,8,0.25,0.5,4,50,14.6,0,Match Report
96,Eint Frankfurt,2025-11-09,1.2,,Mainz 05,de Bundesliga,W 1-0,1,0,+1,55,1,0,0,0,1.2,1.2,+1.0,+1.0,1,0.7,-0.2,-0.2,0,0.09,14,0.07,0.25,4,28.6,17.3,1,Match Report
97,Hoffenheim,2025-11-08,1.7,,RB Leipzig,de Bundesliga,W 3-1,3,1,+2,49,3,0,0,0,1.7,1.7,0,0,1.8,0.8,+1.3,+1.3,+1.2,0.15,12,0.25,0.75,4,33.3,16.3,1,Match Report
98,Bayern Munich,2025-11-08,1.3,@,Union Berlin,de Bundesliga,D 2-2,2,2,0,73,2,0,0,0,1.3,1.3,+0.5,+0.5,1.3,1.3,+0.7,+0.7,+0.7,0.11,12,0.17,0.5,4,33.3,16.6,0,Match Report
99,Heidenheim,2025-11-08,0.1,@,Leverkusen,de Bundesliga,L 0-6,0,6,-6,27,0,0,0,0,0.1,0.1,-3.1,-3.1,0,0.1,-0.1,-0.1,0,0.15,1,0,,0,0,17.2,0,Match Report
100,Hamburger SV,2025-11-08,0.6,,Dortmund,de Bundesliga,D 1-1,1,1,0,46,1,0,0,0,0.6,0.6,-0.4,-0.4,0.6,0.5,+0.4,+0.4,+0.4,0.07,9,0.11,0.33,3,33.3,16,0,Match Report
101,Gladbach,2025-11-08,2.8,,Köln,de Bundesliga,W 3-1,3,1,+2,36,2,1,2,1,2.8,1.2,+0.6,-0.2,1.4,1.2,+0.2,+0.8,+0.6,0.17,7,0.29,1,2,28.6,17.2,0,Match Report
102,Union Berlin,2025-11-08,0.8,,Bayern Munich,de Bundesliga,D 2-2,2,2,0,27,2,0,0,0,0.8,0.8,-0.5,-0.5,0.4,0.8,+1.2,+1.2,+0.6,0.07,12,0.17,0.5,4,33.3,21.1,0,Match Report
103,RB Leipzig,2025-11-08,1.7,@,Hoffenheim,de Bundesliga,L 1-3,1,3,-2,51,1,0,0,0,1.7,1.7,0,0,1.7,1.5,-0.7,-0.7,-0.7,0.1,17,0.06,0.2,5,29.4,16.9,0,Match Report
104,Dortmund,2025-11-08,1,@,Hamburger SV,de Bundesliga,D 1-1,1,1,0,54,1,0,0,0,1,1,+0.4,+0.4,0.7,1.3,0,0,+0.3,0.06,17,0.06,1,1,5.9,20.2,1,Match Report
105,Köln,2025-11-08,2.2,@,Gladbach,de Bundesliga,L 1-3,1,3,-2,64,0,1,1,0,2.2,1.4,-0.6,+0.2,1.1,2.1,-1.2,-1.4,-1.1,0.08,18,0,0,4,22.2,16.1,0,Match Report
